"en","zh"
"Building Public Safety","<U+5927><U+53A6><U+516C><U+5171><U+5B89><U+5168>"
"Making Baltimore Equitable","<U+5236><U+4F5C><U+5DF4><U+5C14><U+7684><U+6469><U+516C><U+5E73>"
"Prioritizing Our Youth","<U+4F18><U+5148><U+9752><U+5C11><U+5E74><U+53C2><U+4E0E>"
"Building Public Trust","<U+5EFA><U+7ACB><U+516C><U+4F17><U+4FE1><U+4EFB>"
"COVID-19 Recovery","COVID-19<U+6062><U+590D>"
"Responsible Stewardship of City Resources","<U+57CE><U+5E02><U+8D44><U+6E90><U+7684><U+8D1F><U+8D23><U+4EFB><U+7684><U+7BA1><U+7406>"
"Create Mayor's Office of Neighborhood Safety and Engagement.","<U+521B><U+5EFA><U+90BB><U+91CC><U+5B89><U+5168><U+548C><U+53C2><U+4E0E><U+7684><U+5E02><U+957F><U+529E><U+516C><U+5BA4><U+3002>"
"Establish monthly PoliceStat meetings to build stronger accountability within BPD and improve service delivery.","<U+5EFA><U+7ACB><U+6BCF><U+6708>PoliceStat<U+4F1A><U+8BAE><U+4E2D>BPD<U+5EFA><U+7ACB><U+66F4><U+5F3A><U+5927><U+7684><U+95EE><U+8D23><U+5236><U+548C><U+63D0><U+9AD8><U+670D><U+52A1><U+8D28><U+91CF><U+3002>"
"Set clear, coordinated public safety vision that addresses violence today and root causes.","<U+8BBE><U+5B9A><U+6E05><U+6670>,<U+534F><U+8C03><U+516C><U+5171><U+5B89><U+5168><U+613F><U+666F><U+5730><U+5740><U+66B4><U+529B><U+4ECA><U+5929><U+548C><U+6839><U+672C><U+539F><U+56E0><U+3002>"
"Task Mayor's Office of Neighborhood Safety and Engagement with coordinating public safety strategy.","<U+4EFB><U+52A1><U+5E02><U+957F><U+7684><U+90BB><U+91CC><U+5B89><U+5168><U+548C><U+53C2><U+4E0E><U+7684><U+529E><U+516C><U+5BA4><U+8D1F><U+8D23><U+534F><U+8C03><U+516C><U+4F17><U+5B89><U+5168><U+7B56><U+7565><U+3002>"
"Introduce local housing voucher program.","<U+4ECB><U+7ECD><U+5F53><U+5730><U+4F4F><U+623F><U+5238><U+65B9><U+6848><U+3002>"
